ID,Policy_Start_Date,Policy_End_Date,Gender,Age,First_Transaction_Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_O51ZQ1B,0,344,0,37.0,0,1,8,4,26,258,111,3,0
ID_VJ1FAVO,1,83,1,37.0,1,1,8,4,67,74,23,1,0
ID_ULWS8VL,2,102,1,41.0,2,2,8,4,67,115,73,3,0
ID_ZYKGSP7,3,369,1,48.0,3,2,8,4,7,115,73,3,0
ID_OEWBKGF,4,272,0,44.0,4,1,8,4,68,22,73,0,0
ID_W0VIHSI,5,118,1,45.0,5,1,8,4,46,250,109,0,0
ID_DC8ITK4,6,368,1,39.0,6,3,8,4,67,84,39,3,0
ID_2SWIGKH,7,370,1,37.0,7,1,8,22,67,51,23,5,0
ID_6BJMPUY,8,367,1,37.0,8,1,8,4,67,40,69,1,0
ID_INECD1O,9,17,1,31.0,9,1,8,32,67,15,6,1,0
ID_KRFLCAB,10,255,1,62.0,10,2,2,4,67,237,73,1,1
ID_9ZVJVT3,10,255,1,62.0,10,2,2,4,67,237,73,1,0
ID_J5BOUB3,11,59,1,50.0,11,1,8,0,67,237,73,5,0
ID_OIKH829,11,59,1,50.0,11,1,8,0,67,237,73,5,0
ID_4K5WKIN,12,0,1,33.0,12,1,8,4,49,237,73,1,0
ID_WX4U1YF,12,0,1,41.15399093164514,12,4,8,0,67,247,73,8,0
ID_QT7VHFU,12,0,0,62.0,12,1,2,0,67,247,73,5,0
ID_N49ZZPY,12,151,2,93.0,12,7,2,0,67,158,73,5,0
ID_VOH16EF,12,0,1,41.15399093164514,12,4,2,0,0,247,73,8,1
ID_O5AXNSA,12,0,2,41.15399093164514,12,2,2,0,26,158,73,1,0
ID_NG1KJPV,12,0,1,41.15399093164514,12,4,2,0,67,247,73,8,1
ID_RG9K2SA,12,0,2,20.0,12,3,2,0,67,157,73,8,1
ID_448AUF2,12,151,2,93.0,12,7,2,0,26,158,73,5,0
